"target"	"id"	"tokid"	"row"	"annotator"	"date"	"token"	"item"	"correct"	"mispronunciation"	"meaning"	"comment"	"file"	"int"	"on"	"off"	"cor"	"mp"	"outfile"	"rand"	"nb"	"rep"	"attempt"	"rown"	"included"	"Age"	"Sex"	"birthOrder"	"familyID"	"notes_familyID"	"monolingual"	"matEd"	"Cond"	"Date"	"Time"	"File"	"fastcode"	"fullcode"	"Notes"	"notes_demo"	"Where"	"Village"	"age.rounded"	"type"	"target_ortho"	"phono"	"ortho1"	"ortho2"	"ortho3"	"ortho4"	"ortho5"	"ortho6"	"ortho7"	"ortho8"	"avg_fr"	"avg_fr_cor"	"avg_fr_cor_ty"	"mp_uni"	"target_uni"	"nonfluent"	"tarlen"	"trafos"	"nchar"	"sub"	"del"	"ins"	"ld"	"nld"	"phon_score"
"dimope"	"c105"	"dimope 25"	25	"DY"	"10-Sep-19"	25	"dimope"	0	"timope"	"0"	""	"190829_0061S12_ch1"	52	237.501	238.672	NA	NA	"pairs/dimope_c105_1.wav"	"0,823364474"	25	"1"	"first"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	"timope"	"dimope"	NA	6	"SMMMMM"	6	1	0	0	1	0.166666666666667	0.833333333333333
"dimope"	"c71"	"dimope 18"	18	"DY"	"10-Sep-19"	18	"dimope"	0	"kimope"	"0"	""	"190825_0022_ch1"	60	161.742	163.126	NA	NA	"pairs/dimope_c71_2.wav"	"0,593919805"	18	"2"	"subsequent"	2	"yes"	5	"G"	4	"3"	"old_familyID"	"no"	10	"2a"	20190826	"15:40"	"190825_0022"	NA	"yes"	"sib to c72"	""	"in house"	"Village#1"	5.8	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	"kimope"	"dimope"	NA	6	"SMMMMM"	6	1	0	0	1	0.166666666666667	0.833333333333333
"dimope"	"c107"	"dimope 20"	20	"DY"	"10-Sep-19"	20	"dimope"	0	"timope"	"0"	""	"190829_0063S12_ch1"	72	257.43	258.701	NA	NA	"pairs/dimope_c107_1.wav"	"0,666175898"	20	"1"	"first"	39	"yes"	7	"B"	1	"30"	"old_familyID"	"yes"	10	"16b"	20190829	"ended 15:41"	"190829_0063S12"	"names"	""	""	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#3"	7.6	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	"timope"	"dimope"	NA	6	"SMMMMM"	6	1	0	0	1	0.166666666666667	0.833333333333333
"dimope"	"c114"	"dimope 23"	23	"DY"	"10-Sep-19"	23	"dimope"	1	NA	NA	""	"190830_0070S12_ch1"	70	251.692	252.829	NA	NA	"pairs/dimope_c114_1.wav"	"0,757268696"	23	"1"	"first"	46	"yes"	8	"B"	NA	"k c114"	"not_found"	"yes"	12	"12a"	20190830	"ended 13:49"	"190830_0070S12"	"names"	""	"EE had to repeat items"	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	8.3	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c123"	"dimope 11"	11	"DY"	"10-Sep-19"	11	"dimope"	1	NA	NA	""	"190830_0082S12_ch1"	50	141.73	142.809	NA	NA	"pairs/dimope_c123_1.wav"	"0,480668174"	11	"1"	"first"	55	"yes"	7	"B"	NA	"k c123"	"not_found"	"yes"	8	"3a"	20190830	"end 15:04"	"190830_0082S12"	"names"	""	"lots of artifactsѕ; not for acoustic ana"	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	7.9	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c111"	"dimope 5"	5	"DY"	"10-Sep-19"	5	"dimope"	1	NA	NA	""	"190830_0067S12_ch1"	46	163.478	164.448	NA	NA	"pairs/dimope_c111_1.wav"	"0,325304311"	5	"1"	"first"	43	"yes"	9	"B"	NA	"k c111"	"not_found"	"yes"	10	"1a"	20190830	"13:28"	"190830_0067S12"	"names"	""	""	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	9.5	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c105"	"dimope 19"	19	"DY"	"10-Sep-19"	19	"dimope"	1	NA	NA	""	"190829_0061S12_ch1"	54	241.214	242.418	NA	NA	"pairs/dimope_c105_2.wav"	"0,633384228"	19	"2"	"subsequent"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c87"	"dimope 14"	14	"DY"	"10-Sep-19"	14	"dimope"	1	NA	NA	""	"180102_0042S12_ch1"	70	309.757	310.894	NA	NA	"pairs/dimope_c87_1.wav"	"0,524364966"	14	"1"	"first"	18	"yes"	4	"B"	6	"27"	"old_familyID"	"yes"	10	"9b"	20190828	"10:40"	"180101_0042S12"	"names"	""	"runny nose"	""	"in house"	"Village#2"	5	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c70"	"dimope 15"	15	"DY"	"10-Sep-19"	15	"dimope"	1	NA	NA	""	"190825_0021_ch1"	56	338.597	340.17	NA	NA	"pairs/dimope_c70_1.wav"	"0,542886876"	15	"1"	"first"	1	"yes"	5	"G"	2	"2"	"old_familyID"	"yes"	8	"1a"	20190826	"15:28"	"190825_0021"	NA	"yes"	""	""	"under house (in public)"	"Village#1"	5.2	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c82"	"dimope 16"	16	"DY"	"10-Sep-19"	16	"dimope"	1	NA	NA	""	"180101_0037S12_ch1"	68	160.091	161.107	NA	NA	"pairs/dimope_c82_1.wav"	"0,566894666"	16	"1"	"first"	13	"yes"	8	"G"	NA	"k c82"	"not_found"	NA	NA	"7a"	20190827	""	"180101_0037S12"	"names"	"yes"	""	"can't find in MarisaPtcpRecruitment-Rossel20190928"	"on veranda (in public)"	"Village#1"	8	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c84"	"dimope 10"	10	"DY"	"10-Sep-19"	10	"dimope"	0	"kemope"	"0"	""	"180102_0039S12_ch1"	96	439.791	440.862	NA	NA	"pairs/dimope_c84_1.wav"	"0,416383445"	10	"1"	"first"	15	"yes"	5	"B"	4	"NA-23b"	"interpolated_old_familyID"	"yes"	10	"8a"	20190828	"10:05"	"180101_0039S12"	"names"	""	"runny nose, equipment error - skipped and replayed"	""	"in house"	"Village#2"	5.5	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	"kemope"	"dimope"	NA	6	"SSMMMM"	6	2	0	0	2	0.333333333333333	0.666666666666667
"dimope"	"c71"	"dimope 1"	1	"DY"	"10-Sep-19"	1	"dimope"	0	"timope"	"0"	""	"190825_0022_ch1"	58	157.527	158.408	NA	NA	"pairs/dimope_c71_1.wav"	"0,119763893"	1	"1"	"first"	2	"yes"	5	"G"	4	"3"	"old_familyID"	"no"	10	"2a"	20190826	"15:40"	"190825_0022"	NA	"yes"	"sib to c72"	""	"in house"	"Village#1"	5.8	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	"timope"	"dimope"	NA	6	"SMMMMM"	6	1	0	0	1	0.166666666666667	0.833333333333333
"dimope"	"c91"	"dimope 24"	24	"DY"	"10-Sep-19"	24	"dimope"	1	NA	NA	""	"180102_0046S12_ch1"	58	371.92	372.856	NA	NA	"pairs/dimope_c91_1.wav"	"0,813124791"	24	"1"	"first"	22	"yes"	6	"G"	4	"18"	"old_familyID"	"yes"	8	"11b"	20190828	"11:47"	"180101_0046S12"	"names"	""	""	""	"in house"	"Village#2"	6.4	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c91"	"dimope 6"	6	"DY"	"10-Sep-19"	6	"dimope"	1	NA	NA	""	"180102_0046S12_ch1"	60	375.465	376.569	NA	NA	"pairs/dimope_c91_2.wav"	"0,371799206"	6	"2"	"subsequent"	22	"yes"	6	"G"	4	"18"	"old_familyID"	"yes"	8	"11b"	20190828	"11:47"	"180101_0046S12"	"names"	""	""	""	"in house"	"Village#2"	6.4	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c76"	"dimope 21"	21	"DY"	"10-Sep-19"	21	"dimope"	1	NA	NA	""	"180101_0031S12_left"	64	219.368	220.739	NA	NA	"pairs/dimope_c76_1.wav"	"0,729715322"	21	"1"	"first"	7	"yes"	10	"G"	4	"11"	"old_familyID"	"yes"	6	"4a"	20190827	""	"180101_0031S12"	NA	"yes"	""	""	"on veranda (in public)"	"Village#1"	10.2	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c84"	"dimope 22"	22	"DY"	"10-Sep-19"	22	"dimope"	1	NA	NA	""	"180102_0039S12_ch1"	98	444.474	445.477	NA	NA	"pairs/dimope_c84_2.wav"	"0,738101265"	22	"2"	"subsequent"	15	"yes"	5	"B"	4	"NA-23b"	"interpolated_old_familyID"	"yes"	10	"8a"	20190828	"10:05"	"180101_0039S12"	"names"	""	"runny nose, equipment error - skipped and replayed"	""	"in house"	"Village#2"	5.5	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"diponate"	"c119"	"diponate 29"	55	"DY"	"10-Sep-19"	29	"diponate"	1	NA	NA	""	"190830_0078S12_ch1"	56	368.011	369.599	NA	NA	"pairs/diponate_c119_1.wav"	"0,935693389"	29	"1"	"first"	51	"yes"	7	"B"	NA	"k c119"	"not_found"	"yes"	8	"18a"	20190830	"14:28"	"190830_0078S12"	"names"	""	"intended order 18a"	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	7	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	NA	"dipońate"	NA	8	"MMMMMMMM"	8	NA	NA	NA	NA	0	1
"diponate"	"c111"	"diponate 7"	33	"DY"	"10-Sep-19"	7	"diponate"	1	NA	NA	""	"190830_0067S12_ch1"	58	189.05	190.588	NA	NA	"pairs/diponate_c111_1.wav"	"0,107880046"	7	"1"	"first"	43	"yes"	9	"B"	NA	"k c111"	"not_found"	"yes"	10	"1a"	20190830	"13:28"	"190830_0067S12"	"names"	""	""	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	9.5	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	NA	"dipońate"	NA	8	"MMMMMMMM"	8	NA	NA	NA	NA	0	1
"diponate"	"c106"	"diponate 13"	39	"DY"	"10-Sep-19"	13	"diponate"	1	NA	NA	""	"190829_0062S12_ch1"	72	254.003	255.407	NA	NA	"pairs/diponate_c106_1.wav"	"0,245343692"	13	"1"	"first"	38	"yes"	7	"B"	1	"36"	"old_familyID"	"yes"	8	"16a"	20190829	"15:34"	"190829_0062S12"	"names"	""	""	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#3"	7.2	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	NA	"dipońate"	NA	8	"MMMMMMMM"	8	NA	NA	NA	NA	0	1
"diponate"	"c118"	"diponate 14"	40	"DY"	"10-Sep-19"	14	"diponate"	0	"tiponate"	"0"	""	"190830_0075S12_ch1"	72	328.946	330.406	NA	NA	"pairs/diponate_c118_2.wav"	"0,263869546"	14	"2"	"subsequent"	50	"yes"	5	"B"	NA	"k c118"	"not_found"	"yes"	6	"20b"	20190830	"14:17"	"190830_0075S12"	"names"	""	"€pparent refusal but restarted and ok, except for EE skip"	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	5.3	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	"tiponate"	"dipońate"	NA	8	"SMMMSMMM"	8	2	0	0	2	0.25	0.75
"diponate"	"c118"	"diponate 1"	27	"DY"	"10-Sep-19"	1	"diponate"	1	NA	NA	""	"190830_0075S12_ch1"	74	334.439	335.486	NA	NA	"pairs/diponate_c118_3.wav"	"0,008841276"	1	"3"	"subsequent"	50	"yes"	5	"B"	NA	"k c118"	"not_found"	"yes"	6	"20b"	20190830	"14:17"	"190830_0075S12"	"names"	""	"€pparent refusal but restarted and ok, except for EE skip"	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	5.3	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	NA	"dipońate"	NA	8	"MMMMMMMM"	8	NA	NA	NA	NA	0	1
"diponate"	"c70"	"diponate 2"	28	"DY"	"10-Sep-19"	2	"diponate"	0	"chi-po-nate"	"0"	""	"190825_0021_ch1"	72	383.935	385.728	NA	NA	"pairs/diponate_c70_1.wav"	"0,011227647"	2	"1"	"first"	1	"yes"	5	"G"	2	"2"	"old_familyID"	"yes"	8	"1a"	20190826	"15:28"	"190825_0021"	NA	"yes"	""	""	"under house (in public)"	"Village#1"	5.2	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	"tiponate"	"dipońate"	1	8	"SMMMSMMM"	8	2	0	0	2	0.25	0.75
"diponate"	"c99"	"diponate 28"	54	"DY"	"10-Sep-19"	28	"diponate"	1	NA	NA	""	"190829_0055S12_ch1"	54	188.855	190.427	NA	NA	"pairs/diponate_c99_1.wav"	"0,867448056"	28	"1"	"first"	31	"yes"	7	"B"	NA	"k c99"	"not_found"	"no"	6	"13b"	20190829	"ended 9:53"	"190829_0055S12"	"names"	""	""	"can't find in MarisaPtcpRecruitment-Rossel20190928"	"below central house (public)"	"Village#3"	11	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	NA	"dipońate"	NA	8	"MMMMMMMM"	8	NA	NA	NA	NA	0	1
"diponate"	"c72"	"diponate 26"	52	"DY"	"10-Sep-19"	26	"diponate"	0	"chipo-de-nate"	"0"	""	"190825_0023_ch1"	64	404.413	406.627	NA	NA	"pairs/diponate_c72_1.wav"	"0,841119376"	26	"1"	"first"	3	"yes"	4	"B"	5	"3"	"old_familyID"	"no"	10	"2b"	20190826	"15:47"	"190825_0023"	NA	"yes"	"sib to c71"	""	"in house"	"Village#1"	4.8	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	"tipodenate"	"dipońate"	1	8	"SMMMSDDMMM"	10	2	2	0	4	0.4	0.6
"diponate"	"c90"	"diponate 6"	32	"DY"	"10-Sep-19"	6	"diponate"	1	NA	NA	""	"180102_0045S12_ch1"	92	256.065	257.539	NA	NA	"pairs/diponate_c90_1.wav"	"0,101374449"	6	"1"	"first"	21	"yes"	7	"G"	3	"18"	"old_familyID"	"yes"	8	"11a"	20190828	"11:41"	"180101_0045S12"	"names"	""	""	""	"in house"	"Village#2"	7.3	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	NA	"dipońate"	NA	8	"MMMMMMMM"	8	NA	NA	NA	NA	0	1
"diponate"	"c112"	"diponate 17"	43	"DY"	"10-Sep-19"	17	"diponate"	1	NA	NA	""	"190830_0068S12_ch1"	68	225.237	226.541	NA	NA	"pairs/diponate_c112_1.wav"	"0,535776071"	17	"1"	"first"	44	"yes"	7	"G"	NA	"k c112"	"not_found"	"yes"	7	"9a"	20190830	"13:32"	"190830_0068S12"	"names"	""	""	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	7.4	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	NA	"dipońate"	NA	8	"MMMMMMMM"	8	NA	NA	NA	NA	0	1
"diponate"	"c116"	"diponate 20"	46	"DY"	"10-Sep-19"	20	"diponate"	0	"chiponate"	"0"	""	"190830_0072S12_ch1"	64	246.094	247.833	NA	NA	"pairs/diponate_c116_1.wav"	"0,63263956"	20	"1"	"first"	48	"yes"	8	"G"	NA	"k c116"	"not_found"	"yes"	10	"19a"	20190830	"ended 14:02"	"190830_0072S12"	"names"	""	"NOTE: REUSED 19A BY MISTAKE"	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	8.5	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	"tiponate"	"dipońate"	NA	8	"SMMMSMMM"	8	2	0	0	2	0.25	0.75
"diponate"	"c73"	"diponate 9"	35	"DY"	"10-Sep-19"	9	"diponate"	1	NA	NA	""	"190825_0024_ch1"	62	223.818	225.244	NA	NA	"pairs/diponate_c73_1.wav"	"0,202269286"	9	"1"	"first"	4	"yes"	6	"G"	4	"9"	"old_familyID"	"yes"	8	"3a"	20190826	"16:06"	"190825_0024"	NA	"yes"	"sib to c74"	""	"in house"	"Village#1"	6.3	"4"	"dipońate"	"ṭipɔnætɛ"	"d"	"i"	"p"	"o"	"ń"	"a"	"t"	"e"	53.25	-3.76735335305558	-3.55201740854268	NA	"dipońate"	NA	8	"MMMMMMMM"	8	NA	NA	NA	NA	0	1
