"ortho"	"phono"	"unichar"	"type"	"in_stim"	"freq"	"pc"	"notes"	"wds_uni.x"	"counts_corpus"	"freq_corpus"	"wds_uni.y"	"counts_corpus_types"	"freq_corpus_types"
"dn"	"ṭṇ"	"?"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Dn"	1	2.02326757713708e-05	"Dn"	1	0.00016239038648912
"dp"	"ṭp"	"/"	"complex"	"yes"	1	0	"NOT IN INVENTORY, so used frequency = 1; t = alveolar; tdot = postalveolar; MC used ʈ to represent the apical post-alveolar since the notation used by SCL is an older form used by Ladefoged that now appears to be not used anymore and instead these sounds would be conventionally grouped with the broader category of retroflex consonants"	"Dp"	215	0.00435002529084471	"Dp"	18	0.00292302695680416
"e"	"ɛ"	"e"	"short_oral"	"yes"	1129	37	NA	"32"	1524	0.030834597875569	"32"	264	0.0428710620331276
"ê"	"ə"	"ê"	"short_oral"	"yes"	675	22	NA	"26"	4446	0.0899544764795144	"26"	465	0.0755115297174407
"ee"	"ɛː"	"ë"	"long_oral"	"no"	NA	NA	"not looked up since not in stimuli"	"21"	474	0.00959028831562974	"21"	66	0.0107177655082819
"éé"	"e:"	"Ë"	"long_oral"	"yes"	641	21	NA	"17"	23	0.000465351542741528	"17"	12	0.00194868463786944
"êê"	"ə:"	"2"	"long_oral"	"no"	NA	NA	"not looked up since not in stimuli"	"15"	199	0.00402630247850278	"15"	31	0.00503410198116272
"gh"	"ɣ"	"H"	"complex"	"yes"	436	14	NA	"Gh"	209	0.00422862923621649	"Gh"	50	0.00811951932445599
"i"	"i"	"i"	"short_oral"	"yes"	2779	92	NA	"33"	3504	0.0708952959028832	"33"	421	0.0683663527119195
"î"	"ɯ"	"8"	"long_oral"	"no"	193	6	NA	"25"	1276	0.0258168942842691	"25"	233	0.0378369600519649
"ii"	"i:"	"ï"	"long_oral"	"no"	NA	NA	"not looked up since not in stimuli"	"22"	510	0.0103186646433991	"22"	43	0.00698278661903215
"îî"	"ɯ:"	"Ï"	"long_oral"	"no"	NA	NA	"not looked up since not in stimuli"	"14"	41	0.000829539706626201	"14"	11	0.00178629425138032
"k"	"k"	"k"	"simple"	"yes"	2730	90	NA	"k"	1876	0.0379564997470916	"k"	194	0.0315037349788893
"km"	"kpŋm"	"Z"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Km"	75	0.00151745068285281	"Km"	26	0.00422215004871712
"kn"	"kŋ"	"!"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Kn"	205	0.00414769853313101	"Kn"	32	0.00519649236765183
"kp"	"kp"	"P"	"complex"	"yes"	373	12	NA	"Kp"	142	0.00287303995953465	"Kp"	50	0.00811951932445599
"lv"	"lβʲ"	"L"	"complex"	"yes"	1	0	"NOT IN INVENTORY, so used frequency = 1; AC previously used βʲ but this is a different sequence"	NA	NA	NA	NA	NA	NA
"m"	"m"	"m"	"simple"	"yes"	2914	96	NA	"m"	2013	0.0407283763277694	"m"	339	0.0550503410198116
"mb"	"mb"	"b"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Mb"	302	0.00611026808295397	"Mb"	43	0.00698278661903215
"md"	"ṇmḍb"	"J"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Md"	10	0.000202326757713708	"Md"	3	0.00048717115946736
"mg"	"ŋmɡb"	"X"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Mg"	52	0.00105209914011128	"Mg"	25	0.004059759662228
"mt"	"nmdb"	"C"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Mt"	1	2.02326757713708e-05	"Mt"	1	0.00016239038648912
"n"	"ṇ"	"n"	"simple"	"yes"	399	13	"ń = alveolar; n/ndot = postalveolar; MC used ɳ to represent the apical post-alveolar since the notation used by SCL is an older form used by Ladefoged that now appears to be not used anymore and instead these sounds would be conventionally grouped with the broader category of retroflex consonants"	"n"	2049	0.0414567526555387	"n"	280	0.0454693082169536
"ń"	"n"	"ń"	"complex"	"no"	2349	78	"ń = alveolar; n/ndot = postalveolar"	"ń"	21	0.000424886191198786	"ń"	14	0.00227346541084768
"nd"	"ṇḍ"	"D"	"simple"	"no"	NA	NA	"not looked up since not in stimuli"	"Nd"	182	0.00368234699038948	"Nd"	40	0.00649561545956479
"ng"	"ŋ"	"N"	"simple"	"no"	NA	NA	"not looked up since not in stimuli"	"Ng"	1338	0.0270713201820941	"Ng"	85	0.0138031828515752
"ngm"	"ŋm"	"G"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"50"	438	0.00886191198786039	"50"	25	0.004059759662228
"nk"	"ŋɡ"	"K"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Nk"	85	0.00171977744056651	"Nk"	16	0.00259824618382592
"ńm"	"nm"	"M"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	NA	NA	NA	NA	NA	NA
"nt"	"nd"	"T"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Nt"	412	0.00833586241780476	"Nt"	62	0.0100682039623254
"o"	"ɔ"	"o"	"short_oral"	"yes"	1070	35	NA	"34"	1916	0.0387658067779464	"34"	284	0.04611886976291
"ó"	"o"	"ó"	"short_oral"	"no"	NA	NA	"not looked up since not in stimuli"	"30"	512	0.0103591299949418	"30"	79	0.0128288405326405
"oo"	"ɔ:"	"Ö"	"long_oral"	"no"	NA	NA	"not looked up since not in stimuli"	"23"	416	0.00841679312089024	"23"	41	0.00665800584605391
"óó"	"o:"	"ö"	"long_oral"	"no"	NA	NA	"not looked up since not in stimuli"	"19"	204	0.00412746585735964	"19"	16	0.00259824618382592
"p"	"p"	"p"	"simple"	"yes"	2594	86	NA	"p"	1338	0.0270713201820941	"p"	206	0.0334524196167587
"t"	"t"	"t"	"simple"	"yes"	2064	68	NA	"t"	1281	0.0259180576631259	"t"	151	0.0245209483598571
"tp"	"tp"	":"	"complex"	"yes"	1	0	"NOT IN INVENTORY, so used frequency = 1; AC previously used pt, but this is a different sequence with only one PHOIBLE attestation from a very short sketch that claims it's only used medially, so I wouldn't use this for Yélî Dnye; t = alveolar; tdot = postalveolar"	"Tp"	486	0.00983308042488619	"Tp"	33	0.00535888275414096
"u"	"u"	"u"	"short_oral"	"yes"	2646	88	NA	"35"	2522	0.0510268082953971	"35"	274	0.0444949658980188
"uu"	"u:"	"ü"	"long_oral"	"yes"	888	29	"freq was previously listed as 1003 but MC saw this was inconsistent with PHOIBLE report (pc was accurate)"	"24"	340	0.00687910976226606	"24"	55	0.00893147125690159
"vy"	"βʲ"	"V"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Vy"	245	0.00495700556398584	"Vy"	32	0.00519649236765183
"w"	"w"	"w"	"simple"	"yes"	2483	82	NA	"w"	1213	0.0245422357106727	"w"	173	0.0280935368626177
"y"	"j"	"y"	"simple"	"yes"	2716	90	NA	"y"	1731	0.0350227617602428	"y"	190	0.0308541734329328
